frame,molecule,x_nm,y_nm,z_nm,photons,background
134,1,26729.0834591055,-1585.02245526232,-1233.6,20637,53.21
135,1,26724.0019034194,-1577.85587538359,-1228,12862,52.696
136,1,26724.109025401,-1588.15412357678,-1236.5,16236,53.011
137,1,26715.9378299502,-1572.77426145739,-1243.7,17277,53.228
138,1,26709.025041315,-1582.10175623035,-1237.7,20024,52.752
139,1,26733.0030177595,-1576.75010162257,-1257.4,18394,52.794
140,1,26727.9107498752,-1568.55369692452,-1241.8,17730,53.236
141,1,26730.1061975617,-1587.07366612966,-1239.1,21860,53.07
142,1,26733.1101397411,-1587.04834981576,-1258.8,18255,52.84
143,1,26727.9964474605,-1576.79229547907,-1250.4,18030,53.267
144,1,26732.0552646905,-1581.90766449047,-1264.5,12988,52.853
145,1,26722.0528362906,-1583.02187702278,-1257.1,20102,52.916
146,1,26725.05677847,-1582.99656070888,-1250.2,20677,52.834
147,1,26719.9645105857,-1574.80015601083,-1249.8,19167,52.841
148,1,26729.0191859166,-1578.84350634641,-1244.8,16852,53.08
149,1,26727.0486943915,-1581.94985834696,-1252.6,16587,53.285
150,1,26720.0287837747,-1580.97910492674,-1260,14143,52.822
151,1,26713.0088731579,-1580.00835150652,-1267.7,16578,52.871
152,1,26716.0449519318,-1583.07250965058,-1256.5,16674,52.985
153,1,26730.0419243727,-1580.89471721375,-1257.3,16082,52.841
154,1,26723.0434381522,-1581.98361343216,-1271,21075,52.933
155,1,26727.8893254789,-1566.49404728588,-1267.1,15678,53.344
156,1,26728.9549127277,-1572.6645574305,-1254.2,15136,53.297
157,1,26717.0141293971,-1579.97459642132,-1266.7,12406,52.9
158,1,26719.9966471802,-1577.88963046878,-1232,15883,53.353
159,1,26717.0676903879,-1585.12372051791,-1262.4,17070,52.874
160,1,26718.1118532403,-1589.23458102389,-1273.6,18597,53.031
161,1,26703.0385813524,-1584.21203849679,-1276.4,15192,52.963
162,1,26737.0296983951,-1578.77599617601,-1264.9,15411,52.961
163,1,26732.1195378794,-1588.08661340638,-1265.6,16224,52.89
164,1,26726.9522846081,-1572.68143497309,-1257.2,11862,52.85
166,1,26734.0150440175,-1577.77148767059,-1266.8,11914,52.88
167,1,26721.0300978345,-1580.97066615544,-1266.6,16336,52.965
168,1,26728.028584055,-1579.88176993702,-1257.8,12607,52.892
169,1,26725.9938193409,-1576.80917302167,-1276.9,15952,52.894
170,1,26722.1063972814,-1588.17100111937,-1258.8,13425,53.002
171,1,26726.0473803317,-1581.95829711826,-1273.7,17330,52.967
172,1,26730.9789652436,-1574.70732952654,-1249.3,13044,53.43
173,1,26720.0394959728,-1582.00892974606,-1276.7,18321,53.037
174,1,26733.0137299577,-1577.77992644189,-1268.5,19062,53.021
175,1,26718.0154434569,-1579.96615765002,-1261.3,20403,53.029
176,1,26732.0338402942,-1579.84801485183,-1269.6,18911,53.284
177,1,26711.124079218,-1591.35330206162,-1276.3,18218,52.97
178,1,26734.047180612,-1580.86096212855,-1271.7,18775,53.051
179,1,26714.9258036922,-1571.75287540937,-1264.3,13855,53.009
180,1,26727.1129675804,-1588.12880726288,-1261.7,12753,53.053
181,1,26729.9883633819,-1575.74559311715,-1273.7,17371,53.188
182,1,26715.991390941,-1577.92338555398,-1272.2,14398,53.059
183,1,26728.0500084513,-1581.94141957566,-1255.5,13471,53.114
184,1,26714.9472280885,-1573.81252504801,-1263.3,25035,53.149
185,1,26716.0235275354,-1581.01286001194,-1275.3,16823,53.078
186,1,26738.0631490493,-1581.85703186267,-1268.7,14958,53.55
187,1,26722.0635484887,-1584.0517018421,-1265.8,14118,53.127
189,1,26719.8681008023,-1565.53173263696,-1272.6,11323,53.123
191,1,26740.0443527726,-1579.78050468143,-1260.4,19042,53.322
192,1,26725.0460662719,-1581.96673588956,-1252.7,14147,53.161
