frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
156,1,26152,10632,-1254.2,NaN,NaN,NaN,15136,53.297
157,1,26140,10625,-1266.7,NaN,NaN,NaN,12406,52.9
158,1,26143,10627,-1232,NaN,NaN,NaN,15883,53.353
159,1,26140,10620,-1262.4,NaN,NaN,NaN,17070,52.874
160,1,26141,10616,-1273.6,NaN,NaN,NaN,18597,53.031
161,1,26126,10621,-1276.4,NaN,NaN,NaN,15192,52.963
162,1,26160,10626,-1264.9,NaN,NaN,NaN,15411,52.961
163,1,26155,10617,-1265.6,NaN,NaN,NaN,16224,52.89
164,1,26150,10632,-1257.2,NaN,NaN,NaN,11862,52.85
166,1,26157,10627,-1266.8,NaN,NaN,NaN,11914,52.88
167,1,26144,10624,-1266.6,NaN,NaN,NaN,16336,52.965
168,1,26151,10625,-1257.8,NaN,NaN,NaN,12607,52.892
169,1,26149,10628,-1276.9,NaN,NaN,NaN,15952,52.894
170,1,26145,10617,-1258.8,NaN,NaN,NaN,13425,53.002
171,1,26149,10623,-1273.7,NaN,NaN,NaN,17330,52.967
172,1,26154,10630,-1249.3,NaN,NaN,NaN,13044,53.43
173,1,26143,10623,-1276.7,NaN,NaN,NaN,18321,53.037
174,1,26156,10627,-1268.5,NaN,NaN,NaN,19062,53.021
175,1,26141,10625,-1261.3,NaN,NaN,NaN,20403,53.029
176,1,26155,10625,-1269.6,NaN,NaN,NaN,18911,53.284
177,1,26134,10614,-1276.3,NaN,NaN,NaN,18218,52.97
178,1,26157,10624,-1271.7,NaN,NaN,NaN,18775,53.051
179,1,26138,10633,-1264.3,NaN,NaN,NaN,13855,53.009
180,1,26150,10617,-1261.7,NaN,NaN,NaN,12753,53.053
181,1,26153,10629,-1273.7,NaN,NaN,NaN,17371,53.188
182,1,26139,10627,-1272.2,NaN,NaN,NaN,14398,53.059
183,1,26151,10623,-1255.5,NaN,NaN,NaN,13471,53.114
184,1,26138,10631,-1263.3,NaN,NaN,NaN,25035,53.149
185,1,26139,10624,-1275.3,NaN,NaN,NaN,16823,53.078
186,1,26161,10623,-1268.7,NaN,NaN,NaN,14958,53.55
187,1,26145,10621,-1265.8,NaN,NaN,NaN,14118,53.127
189,1,26143,10639,-1272.6,NaN,NaN,NaN,11323,53.123
191,1,26163,10625,-1260.4,NaN,NaN,NaN,19042,53.322
192,1,26148,10623,-1252.7,NaN,NaN,NaN,14147,53.161
193,1,26143,10621,-1274.6,NaN,NaN,NaN,20017,53.18
194,1,26136,10619,-1266.5,NaN,NaN,NaN,18542,53.215
195,1,26138,10616,-1285.5,NaN,NaN,NaN,20078,53.216
196,1,26150,10624,-1283.4,NaN,NaN,NaN,15528,53.138
197,1,26141,10627,-1273.8,NaN,NaN,NaN,17419,53.173
198,1,26142,10620,-1274,NaN,NaN,NaN,14755,53.184
199,1,26144,10629,-1277.3,NaN,NaN,NaN,15586,53.139
200,1,26156,10634,-1269.7,NaN,NaN,NaN,12824,53.144
201,1,26157,10630,-1269.2,NaN,NaN,NaN,13879,53.196
202,1,26147,10630,-1263.4,NaN,NaN,NaN,14894,53.205
203,1,26132,10616,-1270.4,NaN,NaN,NaN,15366,53.176
204,1,26145,10631,-1273.3,NaN,NaN,NaN,17872,53.167
205,1,26138,10622,-1277.2,NaN,NaN,NaN,14758,53.159
206,1,26154,10635,-1274.3,NaN,NaN,NaN,17408,53.174
207,1,26133,10628,-1271.6,NaN,NaN,NaN,15695,53.162
208,1,26142,10631,-1272.3,NaN,NaN,NaN,18742,53.197
209,1,26138,10624,-1260.3,NaN,NaN,NaN,18304,53.17
210,1,26151,10632,-1275.7,NaN,NaN,NaN,18542,53.21
211,1,26144,10625,-1268.5,NaN,NaN,NaN,17358,53.302
