frames,xnm,ynm,znm,locprec,photons,background,locprecZ,probe
1,21322.55,22757.45,301.8226,62.92182,1584.791,116.9855,95.02416,0
1,687.5437,22976.33,1673.2224,61.41033,1404.991,144.3336,243.1916,0
1,7943.785,22945.18,624.6756,58.33117,1030.308,114.4649,129.8583,0
1,10875.12,22949.28,1596.9624,13.90526,5264.003,101.4895,26.03452,0
1,22114.25,23021.04,221.382,48.5545,2039.048,113.1198,75.93044,0
1,27751.23,23027.53,613.994,27.12111,4960.054,73.04523,82.90596,0
1,28199.71,22993.59,646.6609,50.1916,2073.981,68.5503,72.6294,0
1,155.12321,23140.75,944.4795,79.68375,1780.603,152.3819,223.3563,0
1,18067.36,23092.27,492.9881,54.89245,1706.51,110.339,106.8287,0
1,12669.45,23233.17,1099.9996,47.09232,953.3572,101.0757,101.4031,0
1,22376.7,23267.09,2050.3317,57.93245,1458.168,108.8988,105.0977,0
1,10888.47,23449.07,1996.4759,29.82045,2886.018,104.3522,66.05277,0
1,18778.5,23423.82,948.205,41.39055,1353.239,108.9893,66.28432,0
1,21744.74,23402.71,2170.5574,55.14903,2121.974,113.2004,86.83676,0
1,26374.12,23406.5,442.5441,49.75031,1881.102,93.26939,130.6273,0
1,25058.18,23635.4,1434.1712,24.66099,1846.879,103.6229,51.69232,0
1,28042.68,23586.37,239.862,59.70297,2361.131,65.71923,104.8265,0
1,367.1008,23761.33,1948.5834,53.91179,1997.592,150.7232,223.2428,0
1,13303.11,23678.88,193.019,48.2928,1955.221,102.9143,106.8488,0
1,22556.52,23758.67,1046.0656,52.48125,1101.558,109.9019,116.0722,0
1,27697.46,23786.27,1990.3291,33.84503,3727.807,73.47426,86.86838,0
1,1036.9028,23924.2,432.6042,65.51976,2025.579,141.5167,136.3891,0
1,8467.99,23886.2,853.29,50.2258,880.0831,111.0284,105.1103,0
1,26354.28,23885.69,653.7494,59.4684,1834.71,91.74492,105.5954,0
1,13592.47,24250.8,1768.5263,43.0071,1203.023,100.9238,84.87311,0
1,14056.65,24227.61,1052.253,39.0621,964.3901,102.3039,63.84232,0
1,19092.53,24231.06,1659.5896,27.73384,2357.344,112.5248,57.80253,0
1,28801.51,24187.88,1130.5028,47.28219,1206.522,59.40071,85.18349,0
1,385.3558,24375.46,1018.8197,71.36549,1594.594,146.3483,219.7044,0
1,27600.16,24380.97,354.178,56.49023,2492.775,73.89222,100.424,0
1,983.2846,24530.23,2250.1268,53.13867,2137.248,141.2549,77.58585,0
1,19428.97,24688.33,548.6876,40.07524,1958.869,115.2749,84.12299,0
1,28408.02,24686.5,380.2574,71.44626,1527.467,62.05578,173.7863,0
1,18654.83,24869.31,1803.0796,47.3205,2261.554,116.3642,100.1732,0
1,333.8557,25036.92,1513.404,61.49114,1863.243,142.9317,191.8408,0
1,11110.62,24976.14,916.693,42.70943,1243.519,107.6643,74.07274,0
1,17551.12,25084.99,1541.4487,22.51255,6027.943,111.6702,39.64622,0
1,27802.56,24993.68,195.067,17.3492,10711.53,73.65498,49.00842,0
1,1015.5147,25183.29,2107.7077,46.23729,2160.158,142.3257,152.8047,0
1,13315,25216.87,2124.6464,11.48207,7484.439,101.0131,29.36741,0
1,17917.56,25127.93,892.0501,8.716696,14431.79,113.9916,20.18565,0
1,18212.68,25178.32,1936.5236,65.35061,2039.043,112.5393,137.1826,0
1,22414.11,25155.68,534.7957,59.69455,1270.552,110.1275,161.2167,0
1,28153.7,25175.27,1966.8933,59.21396,1263.714,58.72221,158.5297,0
1,33846.22,25182.33,2243.1715,54.44829,712.941,46.93406,77.26039,0
1,1858.686,25364.97,410.5174,61.45685,1725.176,136.2418,129.9146,0
1,12284.18,25404.97,753.5314,17.87143,4441.291,103.6703,27.63615,0
1,200.7527,25518.4,1218.36511,57.09744,2272.677,146.1613,345.1194,0
1,931.0029,25489.63,294.1911,64.00002,2498.476,142.2909,113.4077,0
1,18768.25,25509.35,550.263,48.60133,2863.747,113.6587,107.693,0
1,24744.68,25484.34,427.9668,51.36753,1819.213,95.87165,108.1407,0
1,27676.15,25452.47,252.7962,34.93118,1830.628,81.54802,135.7936,0
1,12874.83,25661.85,1271.65002,34.50579,2031.045,98.79414,74.42136,0
1,17588.71,25680.44,1146.2887,58.32526,1780.007,118.0499,118.3468,0
1,23522.53,25641.21,2044.4916,57.27189,1301.1,103.2605,137.3724,0
1,26146.14,25673.73,1831.7119,52.03886,1004.891,86.26913,146.0339,0
1,24659.94,25805.15,336.1058,47.46225,1923.066,97.92652,109.6879,0
1,165.55541,25961,1502.5042,72.52354,2427.38,142.7753,332.1549,0
1,1163.554,25989.73,2052.6069,63.72227,1747.706,139.0945,190.0979,0
1,2132.064,26005.62,1704.4072,57.61906,1340.645,131.4563,159.6286,0
1,20054.02,26001.41,207.764,54.00137,1880.491,117.6007,101.8042,0
1,16977.7,26110.68,308.5478,48.93031,1771.01,114.599,99.6194,0
1,22421.11,26032.72,173.714,38.06216,2414.275,110.3939,48.34458,0
1,23525.7,26080.59,291.0216,50.812,2146.005,104.8065,79.61334,0
1,28063.89,26225.55,442.3624,45.05383,1743.497,64.88487,156.0909,0
1,13817.52,26320.47,855.393,44.17302,4564.317,96.95242,106.9909,0
1,17208.92,26253.69,483.3888,53.17123,2147.951,113.4509,217.6861,0
1,21265.96,26323.02,1488.435,34.11216,1660.675,114.9865,76.26471,0
1,654.035,26460.89,2124.0099,52.43546,2630.465,134.1296,165.2356,0
1,1493.464,26420.18,216.45,57.08172,2545.947,132.8981,86.53177,0
1,13227.27,26409.15,231.555,49.83553,3106.179,102.1439,67.71607,0
1,14208.66,26494.24,1823.1381,15.22482,20154.3,91.70809,66.56778,0
1,27927.63,26423.42,910.7472,27.92519,2165.916,74.98801,52.31536,0
1,14149.24,26542.4,1832.6424,19.47729,16984.62,94.90749,44.40587,0
1,20995.81,26578.92,1055.678,57.7003,1188.49,115.7117,107.9202,0
1,30510.98,26681.93,1676.1288,16.05653,1815.732,56.18295,29.02138,0
1,158.06035,26786.53,1105.0233,80.72047,2458.275,146.5901,284.7726,0
1,562.4024,26889.23,463.5056,53.85183,2821.819,135.2758,126.0963,0
1,19226.41,26942.54,1753.5957,60.1059,1268.231,122.6627,273.2289,0
1,14536.2,27025.94,487.9842,45.56046,5409.92,96.51765,74.72733,0
1,18609.03,27121.54,2141.3697,59.81199,1630.937,119.4378,159.6593,0
1,701.0413,27264.47,2217.6493,49.67281,2956.439,136.311,75.81361,0
1,1528.258,27290.62,349.3905,48.83975,2335.862,130.2394,106.8169,0
1,15546.82,27241.06,1830.6219,45.65997,2044.499,106.9939,100.5874,0
1,12266.74,27390.9,808.2443,31.07531,1863.258,97.21887,54.49298,0
1,177.50645,27609.9,1495.7008,66.44439,2628.455,138.8904,165.4458,0
1,14891.56,27561.79,1446.7313,21.06994,5132.316,104.8558,37.68347,0
